1;"bidule@gmail.com";"isfce2015";"trucmuche"
2;"super@gmail.com";"isfce2015";"yahoo"
3;"appleFanboy@gmail.com";"isfce2015";"genius"
4;"hansel@gmail.com";"isfce2015";"zoolander"
5;"mugatu@gmail.com";"isfce2015";"derek"
6;"spyhard@gmail.com";"isfce2015";"nick"
7;"weird.al.yankovic@gmail.com";"isfce2015";"laren"
8;"caped.baldy@gmail.com";"isfce2015";"saitama"
9;"demon.cyborg@gmail.com";"isfce2015";"genos"
10;"one.punch.man@gmail.com";"isfce2015";"blast"
11;"tatsumaki@gmail.com";"isfce2015";"tornadoOfTerror"
12;"silver.fang@gmail.com";"isfce2015";"bang"
13;"melzagald@gmail.com";"isfce2015";"atomicSamourai"
14;"little.boy@gmail.com";"isfce2015";"childEmperor"
15;"bofoy@gmail.com";"isfce2015";"metalKnight"
16;"strongest.man.on.earth@gmail.com";"isfce2015";"king"
17;"brain@gmail.com";"isfce2015";"zombieman"
18;"gear@gmail.com";"isfce2015";"engineKnight"
19;"love.hamburger@gmail.com";"isfce2015";"pigGod"
20;"all.quiet.here@gmail.com";"isfce2015";"watchdogMan"
21;"kitch.is.beautiful@gmail.com";"isfce2015";"lightspeedFlash"
22;"black.hole@gmail.com";"isfce2015";"tanktopMaster"
23;"bosozoku@gmail.com";"isfce2015";"metalBat"
24;"prison.break@gmail.com";"isfce2015";"priPriPrisoner"
